file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/019__string_quartet_two_violins_viola_cello__large_hall__classica.wav,10.0,0.0647755041718483,-23.77178382873535,0.5656588077545166,4.56742000579834,600.9725045727687,718.1047355251508,4.4908510687946546e-08,24.634689331054688,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/020__acoustic_guitar_fingerpicking__gentle_tempo__natural_tone__s.wav,10.0,0.09097884595394135,-20.821191787719727,0.4866364002227783,3.8874258995056152,312.1645508362411,516.2081135134878,1.9235132597827942e-08,22.052654266357422,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/021__marimba_soft_pattern__dry_studio__resonant_wood_tone.wav,10.0,0.057760123163461685,-24.767436981201172,0.5199645757675171,3.2568047046661377,3267.6833917158765,2509.6595585382192,6.303719601419289e-06,14.64882755279541,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/022__harp_glissandi__lush_hall__shimmering_resonance.wav,10.0,0.07898001372814178,-22.04965591430664,0.4519346356391907,8.615703582763672,383.9515117203709,842.1909045763579,9.189926686303806e-07,39.510826110839844,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/023__solo_saxophone_mellow_ballad_tone__small_club_ambience.wav,10.0,0.022461729124188423,-32.97113800048828,0.47451457381248474,30.14805030822754,217.03122821976362,268.8528113849171,8.441079262411222e-05,80.0447998046875,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/024__string_bass_pizzicato_walking_line__dry_studio__rhythmic_gro.wav,10.0,0.08114393055438995,-21.81488037109375,0.6731325387954712,9.370723724365234,272.61286527002767,352.6404553956186,5.0249596483809e-08,45.58123779296875,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/025__timpani_soft_rolls__concert_hall__orchestral_texture.wav,10.0,0.08871571719646454,-21.039989471435547,0.6050124168395996,2.647752285003662,374.3300791115583,371.4705738631152,8.864950551412676e-09,18.40011978149414,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/026__ambient_pads_evolving_texture__wide_stereo__gentle_reverb.wav,10.0,0.029360074549913406,-30.64485740661621,0.507552981376648,6.271875381469727,1237.2944566530741,1061.311233465648,7.798076694598421e-06,28.169593811035156,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/027__minimal_piano_and_pads__slow_evolving_harmony__instrumental.wav,10.0,0.12614646553993225,-17.982498168945312,0.5302806496620178,1.236818790435791,201.6104836244662,437.5538188992222,2.162915535564025e-08,11.983316421508789,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/028__granular_string_texture__shimmering_spacious_hall.wav,10.0,0.04111429676413536,-27.720142364501953,0.5080433487892151,3.430872917175293,1027.6294170684532,1701.1595004251574,3.5808316170005128e-06,20.360212326049805,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2e_audioldm2_retrieval_external_adapter/wav/029__felt_piano_intimate_close-mic__soft_pedal__delicate_timbre.wav,10.0,0.07169713824987411,-22.889965057373047,0.6553759574890137,10.196552276611328,214.10602668269885,348.2773876120558,3.7130739372059907e-08,47.095367431640625,AudioLDM2-external_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/000__solo_piano_classical_sonata__concert_hall__expressive_dynami.wav,10.0,0.13342685997486115,-17.495134353637695,0.4936506748199463,5.466643333435059,298.8391793796365,585.4493728148672,1.934794084945679e-07,29.113740921020508,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/001__solo_piano_romantic_piece__warm_room__emotional_performance_.wav,10.0,0.07942067086696625,-22.001327514648438,0.4302782118320465,2.288546085357666,679.4055573909335,1052.594368017005,1.1034423863520715e-07,16.053356170654297,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/002__solo_piano_baroque_style__dry_studio__precise_fingerwork__ha.wav,10.0,0.05600966513156891,-25.034740447998047,0.8860313296318054,10.955835342407227,3844.69197140781,1582.915489682542,0.00020491858595050871,60.952842712402344,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/003__solo_piano_contemporary_composition__intimate_space__complex.wav,10.0,0.11029338091611862,-19.149011611938477,0.7006657719612122,5.3629350662231445,563.6949028429748,334.61972694217326,1.541018312956055e-09,30.258544921875,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/004__solo_piano_chopin_nocturne__large_hall__rubato_phrasing__del.wav,10.0,0.06745032221078873,-23.420318603515625,0.4790308475494385,10.343880653381348,699.8835051102661,292.11135183684985,2.1554656726152643e-08,44.02405548095703,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/005__solo_piano_beethoven_sonata__medium_room__powerful_chords__d.wav,10.0,0.059801362454891205,-24.465778350830078,0.6502329707145691,14.460562705993652,872.0891977956693,838.1451418588722,1.9017455997527577e-05,70.16297912597656,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/006__solo_piano_jazz_improvisation__club_atmosphere__swing_rhythm.wav,10.0,0.09136493504047394,-20.784408569335938,0.6817693710327148,4.933678150177002,456.9362871521291,530.7011271666881,3.4608355292675697e-08,23.74986457824707,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/007__solo_piano_minimalistic_piece__small_chamber__repetitive_pat.wav,10.0,0.08847394585609436,-21.063692092895508,0.4737457036972046,2.093047857284546,716.9651937783394,554.6096276479947,8.235654824773064e-09,17.948036193847656,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/008__solo_piano_fast_etude__bright_room__technical_virtuosity__ra.wav,10.0,0.03457888960838318,-29.223777770996094,0.5608283877372742,5.172399520874023,562.7433178699661,773.4048750103625,3.860530796373496e-06,21.0239200592041,AudioLDM2-mlp_adapter
/scratch/rc01492/experiments/final/exp2f_audioldm2_retrieval_mlp_adapter/wav/009__solo_piano_slow_ballad__intimate_setting__emotional_melody_.wav,10.0,0.05539451912045479,-25.13066291809082,0.6798193454742432,2.7956719398498535,877.1461992504293,1097.9059520165522,7.820623295629048e-07,16.689756393432617,AudioLDM2-mlp_adapter
