,AudioLDM1-external_adapter_mean,AudioLDM1-external_adapter_std,AudioLDM1-mlp_adapter_mean,AudioLDM1-mlp_adapter_std,p_value,cohens_d,significant,effect_size
rms,0.07067038047437867,0.062334623620824384,0.07078330880030989,0.062441429961100824,0.9944305580505044,-0.0018100954681227511,False,small
snr,21.211891901493072,13.339656401049488,21.266130165259042,13.321175120903009,0.9874813494348109,-0.004068759122525701,False,small
spectral_centroid,381.49525331545686,412.67839567723075,381.63660408836466,412.1413204838617,0.9989454121842183,-0.0003427433660297858,False,small
spectral_bandwidth,286.779489007842,215.77841827865547,286.5999931858196,214.76206276117705,0.9974344401328494,0.0008338139143410163,False,small
dynamic_range,65.63979113896688,28.648547100267624,65.73053760528565,28.586333860883705,0.990243335122406,-0.0031710177844400155,False,small
frequency_diversity,3.478679105249534e-05,0.00013688367358370812,3.5618501715939387e-05,0.00014148927836627677,0.9816181951584044,-0.005974695815262039,False,small
