Model,rms mean,rms std,snr mean,snr std,spectral_centroid mean,spectral_centroid std,spectral_bandwidth mean,spectral_bandwidth std,dynamic_range mean,dynamic_range std,frequency_diversity mean,frequency_diversity std
ALDM1,0.1092216440786918,0.045103045568823906,9.738810046538498,9.275234164795615,466.2311011573061,134.6671143890665,207.6701097546326,75.37192572149364,41.02822465828776,22.871250791520147,4.863029262954418e-06,2.281819890712071e-06
ALDM2,0.0982681430876255,0.012711200212198993,4.831841038663824,1.9060757988391588,626.0798036867002,230.11582928155426,392.8929872339908,201.21557712125147,26.728704058132262,8.464589656479479,1.35564364613557e-08,3.908819844069083e-08
ALDM2-music,0.17027249111173054,0.0634727570894174,7.308701692746955,7.060142533948909,442.73511099899804,198.2789615431268,186.62916863104974,84.98924250342115,29.069030988868693,15.755380486827505,3.1952942498447943e-07,1.1981481452661014e-06
