file,duration,rms,rms_db,peak,snr,spectral_centroid,spectral_bandwidth,frequency_diversity,dynamic_range,model
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/020__acoustic_guitar_fingerpicking__gentle_tempo__natural_tone__s.wav,10.0,0.047002315521240234,-26.557615280151367,0.5758733153343201,13.89002799987793,222.16764784835567,159.87938395248958,5.757675808126805e-06,57.23915100097656,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/021__marimba_soft_pattern__dry_studio__resonant_wood_tone.wav,10.0,0.04947658255696297,-26.11200523376465,0.6247254014015198,19.627382278442383,438.07955431454195,110.34776280259584,5.103049261379056e-06,74.17279052734375,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/022__harp_glissandi__lush_hall__shimmering_resonance.wav,10.0,0.07037613540887833,-23.051490783691406,0.4557384252548218,3.869590997695923,520.1547976027272,349.8065872206975,4.973389422957553e-06,23.734643936157227,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/023__solo_saxophone_mellow_ballad_tone__small_club_ambience.wav,10.0,0.11861936748027802,-18.516887664794922,0.6172861456871033,53.868099212646484,262.2809394424782,200.3987264542448,4.18758463638369e-05,116.56025695800781,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/024__string_bass_pizzicato_walking_line__dry_studio__rhythmic_gro.wav,10.0,0.12112019211053848,-18.335668563842773,0.8084495067596436,6.15472412109375,125.2320354455462,110.14761943404588,4.530685146164615e-06,34.82954025268555,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/025__timpani_soft_rolls__concert_hall__orchestral_texture.wav,10.0,0.056075334548950195,-25.02456283569336,0.5230108499526978,13.039262771606445,221.13870210303725,85.42634660411062,4.763580818689661e-06,48.66065979003906,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/026__ambient_pads_evolving_texture__wide_stereo__gentle_reverb.wav,10.0,0.15542416274547577,-16.169628143310547,0.5947664976119995,3.069326877593994,453.4763977503298,187.46445860365665,4.751435881189536e-06,24.864665985107422,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/027__minimal_piano_and_pads__slow_evolving_harmony__instrumental.wav,10.0,0.14072778820991516,-17.03240203857422,0.6259501576423645,2.285939931869507,476.16740118728904,189.27931144205797,4.5161709749663714e-06,13.929797172546387,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/028__granular_string_texture__shimmering_spacious_hall.wav,10.0,0.12498784065246582,-18.062644958496094,0.5836971998214722,2.030566453933716,521.0102010043003,314.67701968851793,1.6094969623736688e-06,16.796411514282227,AudioLDM1-augment
/scratch/rc01492/experiments/final/exp2a_audioldm1_retrieval_augment/wav/029__felt_piano_intimate_close-mic__soft_pedal__delicate_timbre.wav,10.0,0.014413130469620228,-36.824832916259766,0.048894353210926056,1.5847469568252563,113.22371115461635,101.66758389623193,4.5296806092665065e-06,14.333783149719238,AudioLDM1-augment
