Model,rms mean,rms std,snr mean,snr std,spectral_centroid mean,spectral_centroid std,spectral_bandwidth mean,spectral_bandwidth std,dynamic_range mean,dynamic_range std,frequency_diversity mean,frequency_diversity std
ALDM1-Retrieval,0.07067038047437867,0.06128690826937003,21.211891901493072,13.11544452677041,381.49525331545686,405.74213032020134,286.779489007842,212.15163194048364,65.63979113896688,28.167024619657248,3.478679105249534e-05,0.00013458294378305193
ALDM2-Retrieval,0.0715580863878131,0.026216843465985313,7.698599505424499,7.78141683293908,887.7522607817555,870.30283491613,837.6401607086725,517.6223184239108,33.878940931955974,19.14017307940794,1.7679577160930236e-05,4.3552165205390416e-05
ALDM2_music-Retrieval,0.07759781939287981,0.025302480121607348,6.253610110282898,7.879371752222314,826.7685031418758,886.5999506565661,752.7319097842956,498.84910787732963,28.84871352513631,18.062522700775435,7.206917318680617e-06,1.974186818738333e-05
